Año,AWS (%),Microsoft Azure (%),Google Cloud (%),Alibaba Cloud (%),IBM Cloud (%),Salesforce (%),Tencent Cloud (%),Oracle Cloud (%),Otros (%)
2018,34,14,6,4,2,3,2,2,33
2019,33,16,8,5,2,3,2,2,31
2020,32,19,9,6,2,3,2,2,27
2021,32,21,10,6,2,3,2,2,24
2022,34,21,11,4,2,3,2,2,23
2023,33,22,11,4,2,3,2,2,23
2024,34,23,12,3,2,3,2,2,21
